id,name,slug,email,phone,password,avatar,fcm_token,is_email_verified,is_verified,is_social,is_public,is_online,is_active,last_active,stripe_customer_id,mollie_customer_id,plan_type,role,status,total_paid,total_price,remaining_price,is_progress_can_see,is_appointment_can_see,is_documents_can_see,is_translators_can_see,is_legal_can_see,is_accounting_can_see,is_notary_can_see,is_support_can_see,start_date,next_payment_date,createdAt,updatedAt
01dd3fe4-b7a6-4ec0-82ba-1342bdc3eff5,Team Member - 2,team-member-2,teammember2@gmail.com,,$2b$12$6bN5yooqDzjkF/aJWdKVjeDjQSjpiUEr2l6kKVKTgReAxJpLqy9XK,,,false,false,false,true,true,true,,,,STARTER,ADMIN,ACTIVE,0,0,0,true,true,true,true,true,true,true,true,,,2026-06-30 10:07:03.431998,2026-07-02 07:14:26.022517
02ee62e0-1fd7-40b4-8bca-e9a7be63179d,Team Member - 1,team-member-1,teammember1@gmail.com,,$2b$12$pkm/2G1aG7K4Z6Fi1.rE0eKhP3FnwvBgg.i3aE/.O1g4gz5vriQ7y,,,false,false,false,true,true,true,,,,STARTER,ADMIN,ACTIVE,0,0,0,true,true,true,true,true,true,true,true,,,2026-06-30 09:50:55.594299,2026-06-30 09:50:55.594299
37f35730-7e0e-4d2f-aeb7-5a572a0ebc01,Afsar-1,afsar-1,afsar1@gmail.com,,$2b$12$3dHfDF1HVHYB.7UbSR5Rt.FVJn8TNrw6VKQHCn0CrLy3rbrQ3DDFu,,,true,true,false,true,true,true,,,,STARTER,CLIENT,ACTIVE,0,0,0,true,false,false,false,false,false,false,true,,,2026-07-01 09:14:39.135464,2026-07-01 09:15:18.787169
4e301b82-715c-4c82-b6d6-fa68685566ed,Vomarik,vomarik,vomarik510@fivejm.com,,$2b$12$xyNOKECpnJnjPvImQlAo5e0sp9SB7/aDh8eAzQP77EhC4VBvOnovm,https://dlvosoxpgcxuxnckuvlh.supabase.co/storage/v1/object/public/expats-varna/avatar/4e301b82-715c-4c82-b6d6-fa68685566ed/Sfc2901538b5a4a3089090d0827a266c7h-jpeg-960x960q75-jpeg-1782985376266.avif,,false,false,false,true,true,true,,,,STARTER,TRANSLATOR,ACTIVE,0,0,0,false,true,false,true,false,false,false,false,,,2026-07-02 09:42:56.299675,2026-07-02 09:42:56.299675
5bfec226-5b52-4da1-bd2c-3ebed7fa767c,admin_sohan,sohan_admin,srsohan284@gmail.com,,$2b$12$KMJNcc6Igan2FJHqS0v8Mu3L.Fr2wXXPwSCqOPxo26byqyWb/xscC,,,true,true,false,true,true,true,,,,STARTER,ADMIN,ACTIVE,0,0,0,true,false,false,false,false,false,false,false,,,2026-07-02 07:12:22.612994,2026-07-02 07:31:18.246051
76323fe5-9efc-48c6-8c77-ba186b9d5d58,Super Admin,super-admin,admin@gmail.com,,$2b$12$McsaPy.nEbeEEUl2HBQnp.CZ6L39JZgN3b.xEaNqcclaNKcyZYacW,,,true,true,false,true,true,true,,,,STARTER,SUPER_ADMIN,ACTIVE,0,0,0,true,true,true,true,true,true,true,true,,,2026-06-30 08:18:17.982645,2026-06-30 08:18:17.982645
771cc964-9f12-441f-99b5-115e1ad9d6ef,sakib,sakib,business1@gmail.com,,$2b$12$MSLZnwvTNGCFuP1bGs7VnenLX3NGOizAbR43xPRmnEeabR7QTrpJq,,,false,false,false,true,true,false,,,,VIP,CLIENT,ACTIVE,100,230,130,true,true,true,true,true,true,false,true,,,2026-07-01 08:25:46.020435,2026-07-01 12:59:04.651001
a192a1e8-95b6-47ad-8c36-5d124c2eb9a7,Rinaw-4,rinaw-4,rinaw33664@icotz.com,,$2b$12$KFCSBmvTuY.twKI3e4U8WuzVhrZ82Qq/NrOEhb7ffo4s43DXQgL0a,https://dlvosoxpgcxuxnckuvlh.supabase.co/storage/v1/object/public/expats-varna/avatar/a192a1e8-95b6-47ad-8c36-5d124c2eb9a7/Sfc2901538b5a4a3089090d0827a266c7h-jpeg-960x960q75-jpeg-1782985272690.avif,,false,false,false,true,true,true,,,,STARTER,TRANSLATOR,ACTIVE,0,0,0,false,true,false,true,false,false,false,false,,,2026-07-02 09:41:12.722787,2026-07-02 09:41:12.722787
ae089db2-72f3-4384-a8c5-ef1ce88ba924,Rinaw,rinaw,rinaw33663@icotz.com,013215458554,$2b$12$gkmsNWn5qRUIdz0ScgPEiuadp5qxrmzv15vYF0uxrkSSaEhbwtX.S,https://dlvosoxpgcxuxnckuvlh.supabase.co/storage/v1/object/public/expats-varna/avatar/ae089db2-72f3-4384-a8c5-ef1ce88ba924/arg-her-1-1782984812929.jpg,,false,false,false,true,true,true,,,,STARTER,TRANSLATOR,ACTIVE,0,0,0,false,true,false,true,false,false,false,false,,,2026-07-02 09:12:50.097634,2026-07-02 09:33:34.049009
bc97d5e1-ab7e-4f92-b6c1-49daef09d065,sohan,sohan,sr.sohan088@gmail.com,,$2b$12$TY1MwN5vagL1m/LtLDtUJe73Iwj2yY/cG1w3N819iRxrlgDAH5452,,,true,true,false,true,true,true,,,,STARTER,SUPER_ADMIN,ACTIVE,0,0,0,true,false,false,false,false,false,false,false,,,2026-07-02 07:11:49.422641,2026-07-02 07:11:49.422641
e66f1c4d-5923-4450-92ec-9d98e1d02bfc,lowyer_sohan,lowyer_sohan,sohanur35-2748@diu.edu.bd,,$2b$12$lIFm8MQKKCSffbQamXDmgOWImYJhT83S6K3c7tqqL0XST6fYM6gX.,,,false,false,false,true,true,true,,,,STARTER,LAWYER,ACTIVE,0,0,0,false,false,false,false,true,false,false,false,,,2026-07-02 07:37:15.379225,2026-07-02 07:37:15.379225
ef147037-21a5-45d2-811b-0974b08b506a,Afsar-2,afsar-2,banibif895@homephit.com,,$2b$12$MT4.I2QrUv1X.OA3.gm1Dun0IgYwTZPOp5/79ZDzEdqjcOWOBLSjW,,,false,false,false,true,true,true,,,,STARTER,CLIENT,ACTIVE,30,70,40,true,true,false,false,true,true,true,false,,,2026-06-30 09:03:23.883338,2026-06-30 09:03:23.883338
